game_no,lander_x,lander_y,lander_velo_x,lander_velo_y,angle,angular_velocity,leg_1_in_contact,leg_2_in_contact,action,reward,done,info,terminated
15,0.2244851142168045,1.147155523300171,0.6521472334861755,-0.6207929849624634,-0.4116840958595276,-0.28913208842277527,0.0,0.0,3,-2.913210195793367,,{},0.0
15,0.23136644065380096,1.1337575912475586,0.7008086442947388,-0.599220335483551,-0.4253806471824646,-0.2739312946796417,0.0,0.0,2,-2.6591190538614624,,{},0.0
15,0.2381884604692459,1.1197948455810547,0.6932516694068909,-0.6239503026008606,-0.437396377325058,-0.24031385779380798,0.0,0.0,1,-1.0667156582352948,,{},0.0
15,0.24501094222068787,1.105233907699585,0.6932440996170044,-0.6506279706954956,-0.44941195845603943,-0.24031147360801697,0.0,0.0,0,-1.7282386375658234,,{},0.0
15,0.25190943479537964,1.0900218486785889,0.7028011083602905,-0.6803229451179504,-0.46364790201187134,-0.2847190201282501,0.0,0.0,3,-2.8629266849160033,,{},0.0
15,0.25873908400535583,1.0742747783660889,0.6938471794128418,-0.7035419344902039,-0.4756964147090912,-0.2409699708223343,0.0,0.0,1,-0.8572275319323512,,{},0.0
15,0.26564377546310425,1.0578649044036865,0.7033616304397583,-0.7338176965713501,-0.4900628924369812,-0.28732919692993164,0.0,0.0,3,-2.872099440443917,,{},0.0
15,0.27273625135421753,1.0417349338531494,0.7224972248077393,-0.7216843962669373,-0.5049387216567993,-0.2975166440010071,0.0,0.0,2,-0.8736504166774239,,{},0.0
15,0.2799057066440582,1.0249345302581787,0.7322438359260559,-0.7524149417877197,-0.5222650170326233,-0.346525639295578,0.0,0.0,3,-3.196688611347183,,{},0.0
15,0.2871302664279938,1.007481336593628,0.7391597032546997,-0.78223717212677,-0.5413854122161865,-0.38240790367126465,0.0,0.0,3,-3.0862885724506257,,{},0.0
15,0.2943565249443054,0.989432156085968,0.7391363382339478,-0.8089302778244019,-0.5605053305625916,-0.3823983073234558,0.0,0.0,0,-2.335020199744747,,{},0.0
15,0.30152368545532227,0.9708568453788757,0.7312512993812561,-0.8317529559135437,-0.5775137543678284,-0.3401690125465393,0.0,0.0,1,-1.3353787913297015,,{},0.0
15,0.3086361885070801,0.9517503380775452,0.7239569425582886,-0.8547729849815369,-0.592544674873352,-0.30061832070350647,0.0,0.0,1,-1.19344934880334,,{},0.0
15,0.3156971037387848,0.9320935606956482,0.71724933385849,-0.8787146210670471,-0.6058857440948486,-0.26682132482528687,0.0,0.0,1,-1.1325179954419855,,{},0.0
15,0.3227589726448059,0.9118384718894958,0.7172367572784424,-0.9053935408592224,-0.6192266345024109,-0.2668180763721466,0.0,0.0,0,-1.7294962885563336,,{},0.0
15,0.3304441571235657,0.8919881582260132,0.7790297269821167,-0.8872940540313721,-0.6320159435272217,-0.25578591227531433,0.0,0.0,2,-2.5434244192575077,,{},0.0
15,0.33813029527664185,0.8715395331382751,0.7790177464485168,-0.9139718413352966,-0.6448050737380981,-0.2557830214500427,0.0,0.0,0,-1.6562270756731436,,{},0.0
15,0.3462035059928894,0.8512973785400391,0.8176784515380859,-0.9049059748649597,-0.6576574444770813,-0.2570473849773407,0.0,0.0,2,-1.8710740602996225,,{},0.0
15,0.3545641005039215,0.8310845494270325,0.8464131355285645,-0.903748631477356,-0.67064368724823,-0.2597246766090393,0.0,0.0,2,-1.914604556885979,,{},0.0
15,0.3629794120788574,0.8102058172225952,0.853360652923584,-0.934287965297699,-0.6856284141540527,-0.2996942400932312,0.0,0.0,3,-2.666378658342437,,{},0.0
15,0.3715952932834625,0.7894154787063599,0.8737635612487793,-0.9307478070259094,-0.7012383341789246,-0.3121986389160156,0.0,0.0,2,-1.4577931753200801,,{},0.0
15,0.38014572858810425,0.7680981159210205,0.86528080701828,-0.9532759785652161,-0.7145413160324097,-0.2660599648952484,0.0,0.0,1,-0.8922313847141072,,{},0.0
15,0.38875895738601685,0.7461168766021729,0.8730674982070923,-0.9838269352912903,-0.729982316493988,-0.3088194727897644,0.0,0.0,3,-2.7980400997156765,,{},0.0
15,0.3973068296909332,0.7236120700836182,0.8646085858345032,-1.0061438083648682,-0.7430649995803833,-0.2616525888442993,0.0,0.0,1,-0.8816055233371844,,{},0.0
15,0.4057864248752594,0.7006039023399353,0.855664074420929,-1.027342677116394,-0.7534308433532715,-0.20731627941131592,0.0,0.0,1,-0.5197478931859496,,{},0.0
15,0.41432198882102966,0.6769064664840698,0.8629328012466431,-1.0591427087783813,-0.7661845684051514,-0.25507473945617676,0.0,0.0,3,-2.6225801431840225,,{},0.0
15,0.42279672622680664,0.6527040600776672,0.8548843264579773,-1.0804497003555298,-0.7763726115226746,-0.20376138389110565,0.0,0.0,1,-0.6099037583462337,,{},0.0
15,0.43127211928367615,0.6279028654098511,0.8548752665519714,-1.1071224212646484,-0.786560595035553,-0.20375990867614746,0.0,0.0,0,-1.5268091140406455,,{},0.0
15,0.43970268964767456,0.6025612950325012,0.8490782976150513,-1.1303479671478271,-0.795008659362793,-0.16896112263202667,0.0,0.0,1,-0.790121725495651,,{},0.0
15,0.44818925857543945,0.576535165309906,0.856275737285614,-1.161939024925232,-0.8057933449745178,-0.21569330990314484,0.0,0.0,3,-2.5042941047201723,,{},0.0
15,0.45667657256126404,0.5499102473258972,0.8562652468681335,-1.1886123418807983,-0.8165779113769531,-0.21569153666496277,0.0,0.0,0,-1.689653910096638,,{},0.0
15,0.46511954069137573,0.5227638483047485,0.8503348231315613,-1.2108228206634521,-0.8253222703933716,-0.1748875081539154,0.0,0.0,1,-0.8622407755653103,,{},0.0
15,0.47356289625167847,0.49501821398735046,0.8503276705741882,-1.2374937534332275,-0.8340665698051453,-0.174886554479599,0.0,0.0,0,-1.5975840533196788,,{},0.0
15,0.4826222360134125,0.46749430894851685,0.9118269681930542,-1.2276531457901,-0.8427732586860657,-0.17413398623466492,0.0,0.0,2,-2.632079694364154,,{},0.0
15,0.4916207194328308,0.43947115540504456,0.9038918614387512,-1.2485162019729614,-0.848786473274231,-0.12026456743478775,0.0,0.0,1,-0.5939461816891185,,{},0.0
15,0.5005639791488647,0.41094812750816345,0.8966143727302551,-1.2694271802902222,-0.8522051572799683,-0.06837378442287445,0.0,0.0,1,-0.472581283343543,,{},0.0
